Date,VN_Index_Close,Total Volume,Total Value
2010-03-11,524.64,52454020.0,90750000000.0
2010-03-12,531.51,55970844.0,132850000000.0
2010-03-15,531.86,56566901.0,127470000000.0
2010-03-16,516.08,67290930.0,137690000000.0
2010-03-17,510.85,51314910.0,90120000000.0
2010-03-18,519.73,46310500.0,114310000000.0
2010-03-19,515.99,54358110.0,66550000000.0
2010-03-22,511.58,42563460.0,128830000000.00002
2010-03-23,506.53,45893776.0,95770000000.0
2010-03-24,512.12,46053462.0,138580000000.0
2010-03-25,503.39,52073140.0,104040000000.0
2010-03-26,505.3,63114940.0,637190000000.0
2010-03-29,505.67,37746780.0,103300000000.0
2010-03-30,500.72,59878245.0,497950000000.0
2010-03-31,499.24,52425690.0,297620000000.0
2010-04-01,508.18,53668560.0,572900000000.0
2010-04-02,510.48,43467240.0,180880000000.0
2010-04-05,514.79,44730523.0,132449999999.99998
2010-04-06,515.33,68800540.0,116450000000.0
2010-04-07,515.82,51478309.0,140940000000.0
2010-04-08,515.93,55889890.0,89420000000.0
2010-04-09,517.42,63625540.0,190190000000.0
2010-04-12,519.93,54415750.0,113500000000.0
2010-04-13,517.98,53748790.0,156630000000.0
2010-04-14,516.21,45147510.0,115310000000.0
2010-04-15,521.49,53709980.0,140340000000.0
2010-04-16,522.03,63134340.0,177300000000.0
2010-04-19,516.74,61099410.0,182750000000.0
2010-04-20,515.2,58669731.0,169080000000.0
2010-04-21,519.7,56681462.0,136639999999.99998
2010-04-22,529.31,79844420.0,133350000000.0
2010-04-26,531.21,69629440.0,276010000000.0
2010-04-27,535.72,57598220.0,161830000000.0
2010-04-28,539.2,60975825.0,146610000000.0
2010-04-29,542.37,74876770.0,133919999999.99998
2010-05-04,549.12,89163845.0,149760000000.0
2010-05-05,548.01,86715530.0,217380000000.0
2010-05-06,549.51,81308670.0,152300000000.0
2010-05-07,542.03,112499930.0,281880000000.0
2010-05-10,534.38,82677650.0,260350000000.00003
2010-05-11,534.36,69188620.0,171400000000.0
2010-05-12,519.6,69351180.0,169530000000.0
2010-05-13,518.93,60289134.0,228810000000.0
2010-05-14,520.72,45564920.0,165810000000.0
2010-05-17,511.27,55104790.0,143540000000.0
2010-05-18,508.3,45372210.0,143780000000.0
2010-05-19,494.9,60055530.0,139440000000.0
2010-05-20,503.55,59955090.0,222630000000.0
2010-05-21,483.69,61056850.0,157640000000.0
2010-05-24,486.19,44276560.0,183000000000.0
2010-05-25,486.25,43968232.0,102990000000.0
2010-05-26,492.69,41376638.0,141280000000.0
2010-05-27,497.16,41762860.0,163700000000.0
2010-05-28,512.99,58907130.0,117870000000.0
2010-05-31,507.44,44805060.0,181190000000.0
2010-06-01,508.68,37922440.0,81680000000.0
2010-06-02,510.74,40664020.0,118980000000.0
2010-06-03,511.16,51115800.0,235980000000.0
2010-06-04,510.37,52556030.0,258690000000.0
2010-06-07,496.89,52053780.0,112450000000.0
2010-06-08,497.19,38514395.0,86520000000.0
2010-06-09,497.56,34335880.0,100050000000.0
2010-06-10,500.51,33459880.0,99120000000.0
2010-06-11,504.29,44680287.0,245040000000.0
2010-06-14,508.32,46151857.0,242630000000.0
